sentence,label,idx
girls ca n't swim represents an engaging and intimate first feature by a talented director to watch ,1,55966
a guy dressed as a children 's party clown gets violently gang-raped ,0,13041
", accepting a 50-year-old in the role is creepy in a michael jackson sort of way . ",0,41788
"a markedly inactive film , city is conversational bordering on confessional . ",0,4106
retread story ,0,59651
car chase ,1,4543
'd be lying if i said my ribcage did n't ache by the end of kung pow ,1,18138
greengrass ,1,36299
enhances the quality of neil burger 's impressive fake documentary ,1,47382
worthy of the gong . ,0,35832
laughs -- ,1,29197
"it 's a square , sentimental drama that satisfies , as comfort food often can . ",1,22297
by the most random of chances ,0,12829
to describe exactly how bad it is ,0,35315
even betters it ,1,11333
he 's easy to like and always leaves us laughing ,1,43392
( ferrera ) ,0,57359
", leaning on badly-rendered cgi effects . ",0,14748
a great piece to watch with kids and use to introduce video as art ,1,33192
"the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug ",0,23267
deftly spins the multiple stories in a vibrant and intoxicating fashion ,1,38581
a chiller resolutely without chills . ,0,39976
belongs on the big screen ,1,65521
of the plot ( other than its one good idea ) and the movie 's inescapable air of sleaziness ,0,3064
there 's nothing else happening ,0,8011
"to provide the pleasures of a slightly naughty , just-above-average off - broadway play ",0,53506
articulates the tangled feelings of particular new yorkers deeply touched by an unprecedented tragedy ,1,65250
"( it 's ) what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction ",1,8140
"an unforgettable look at morality , family , and social expectation through the prism of that omnibus tradition called marriage . ",1,48994
'm not sure which will take longer to heal : the welt on johnny knoxville 's stomach from a riot-control projectile or my own tortured psyche ,0,21934
quite the career peak ,1,46137
saddled with an unwieldy cast of characters and angles ,0,16175
few nonbelievers ,1,48714
dazzling entertainment ,1,55842
breakthrough ,1,66686
bogs down in genre cliches here ,0,25676
reflective and beautifully ,1,2126
"manipulative claptrap , ",0,13696
that 's been done before ,0,4324
"but it 's a rushed , slapdash , sequel-for-the-sake - of-a-sequel with less than half the plot and ingenuity ",0,24683
with a message that cautions children about disturbing the world 's delicate ecological balance ,1,27664
the crisp clarity ,1,58439
"a rather brilliant little cult item : a pastiche of children 's entertainment , superhero comics , and japanese animation . ",1,44954
sparse but oddly compelling ,1,31963
dilutes the pleasure of watching them ,0,9995
forgets ,0,44621
it adds up to big box office bucks all but guaranteed . ,1,41018
"it 's the best sequel since the empire strikes back ... a majestic achievement , an epic of astonishing grandeur and surprising emotional depth . ",1,14311
"who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized ",1,59455
often intense ,1,59162
"when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration ",0,30995
the result is so tame that even slightly wised-up kids would quickly change the channel . ,0,41271
a moving story of determination and the human spirit ,1,61515
that it ca n't really be called animation ,0,38889
"the old saying goes , because it 's true ",1,917
"no psychology here , and no real narrative logic -- ",0,18897
"trashy , kinky fun ",1,65441
for people who make movies and watch them ,1,28238
magnificent landscape to create a feature film that is wickedly fun to watch ,1,38580
thoroughly engrossing and ultimately tragic . ,0,21270
"mr. nachtwey has traveled to places in the world devastated by war , famine and poverty and documented the cruelty and suffering he has found with an devastating , eloquent clarity . ",1,61095
in all the best possible ways ,1,22384
to understand what made allen 's romantic comedies so pertinent and enduring ,1,15173
sweeping battle scenes ,1,51629
sucks you in ,1,28897
bears about as much resemblance to the experiences of most battered women as spider-man ,0,9289
the living hell ,0,35746
worthy and devastating ,1,56709
'd watch these two together again in a new york minute . ,1,18879
essential ,1,66464
is more timely now than ever . ,1,12354
provocative central wedding sequence ,1,22860
stuffy ,0,5271
less a story ,0,24973
"a gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative hollywood practices . ",1,14237
to care about ,1,9820
becomes a testament ,1,27620
laugh-out-loud funny ,1,59197
"is little more than home alone raised to a new , self-deprecating level . ",0,16546
thought-provoking ,1,47759
a french film with a more down-home flavor ,1,31155
avoid the ghetto of sentimental chick-flicks ,0,58717
little action ,0,42516
the holes in this film remain agape -- ,0,54146
that same option to slap her creators because they 're clueless and inept ,0,46615
"to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success ",1,20627
could be a single iota worse ... a soulless hunk of exploitative garbage . ,0,55218
at its best ,1,60100
flawless ,1,48757
put on an intoxicating show ,1,62324
just did n't care ,0,6143
"lumbering , wheezy ",0,22997
low-budget series ,0,50062
is a gem . ,1,26686
a monster movie ,1,30757
steven soderbergh does n't remake andrei tarkovsky 's solaris so much as distill it . ,0,43382
", stupid and pointless ",0,40240
", violent , self-indulgent and maddening ",0,36981
the multiple stories in a vibrant and intoxicating fashion ,1,22791
too cynical ,0,6483
burnt-out ,0,57324
that even the stuffiest cinema goers will laugh their *** off for an hour-and-a-half ,1,52053
could easily be called the best korean film of 2002 . ,1,23893
's best ,1,40999
is workmanlike in the extreme . ,0,49582
a giant step backward ,0,355
for putting together any movies of particular value or merit ,1,53834
before the plot kicks into gear ,1,31704
to deliver a fair bit of vampire fun ,1,12021
educates viewers ,1,63138
slopped ` em together here ,0,33935
occasionally very enjoyable ,1,38263
"the best , ",1,67175
no one in the audience or the film seems to really care ,0,8855
its smallness ,1,39713
is a fudged opportunity of gigantic proportions -- a lunar mission with no signs of life . ,0,62731
an essentially awkward version ,0,33624
blade ii mutates into a gross-out monster movie with effects that are more silly than scary . ,0,15715
a stiff ,0,28331
finds its moviegoing pleasures ,1,46029
genre-busting ,1,45953
it 's pleasant enough ,1,44571
has taken quite a nosedive from alfred hitchcock 's imaginative flight to shyamalan 's self-important summer fluff . ,0,53291
debt miramax felt they owed to benigni ,1,26629
stupid ,0,14897
is such a mesmerizing one ,1,45448
mostly repetitive ,0,36909
"some of the most ravaging , gut-wrenching , frightening war scenes since `` saving private ryan '' ",1,29054
has it beat by a country mile ,0,20276
if only because it accepts nasty behavior and severe flaws as part of the human condition ,0,12384
should make it required viewing in university computer science departments for years to come ,1,21464
is achingly honest and delightfully cheeky ,1,52189
"nicks sustains the level of exaggerated , stylized humor throughout by taking your expectations and twisting them just a bit . ",1,53342
faux-urban ,0,36791
the material and the production itself are little more than routine . ,0,23255
disney scrape the bottom of its own cracker barrel ,0,31816
turntablism ,1,1852
it counts heart as important as humor ,1,15493
is fascinating ... ,1,56323
"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue . ",0,2437
"show-stoppingly hilarious , ",1,30294
", i 'd take ( its ) earnest errors and hard-won rewards over the bombastic self-glorification of other feel-good fiascos like antwone fisher or the emperor 's club any time . ",1,16284
gifted performers ,1,26441
resuscitate ,1,47396
endorses ,1,43733
"surprising , subtle ",1,65224
"wickedly funny , visually engrossing , never boring , this movie ",1,41402
the writing is insipid ,0,30811
a variant of the nincompoop benigni persona ,0,9213
interesting and at times ,1,7151
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship ",1,23245
"a sour taste in one 's mouth , ",0,22450
", loud , bang-the-drum ",1,34618
"sparkling , often hilarious romantic jealousy comedy ... attal looks so much like a young robert deniro that it seems the film should instead be called ` my husband is travis bickle ' . ",1,27502
"the universal themes , ",1,6467
corporate circus ,0,16019
visual splendor ,1,2242
"guns , violence ",0,43699
"figures prominently in this movie , and helps keep the proceedings as funny for grown-ups as for rugrats . ",1,29629
"gets very ugly , very fast ",0,62707
screwball farce and blood-curdling family intensity on one continuum ,1,18736
"the hand that has finally , to some extent , warmed up to him ",1,18866
freaking out ,0,6749
every joke is repeated at least ,0,9523
kids = misery ,0,44111
its worst harangues are easy to swallow thanks to remarkable performances by ferrera and ontiveros ,1,51891
"is , in a word , brilliant as the conflicted daniel . ",1,12913
far superior ,1,46231
an unflinching and objective look ,1,29881
"obviously , a lot of people wasted a lot of their time ( including mine ) on something very inconsequential . ",0,10095
"daydreams , memories and one fantastic visual trope ",1,21438
muddy sound ,0,66193
"all the stomach-turning violence , colorful new york gang lore ",0,10020
execution and skill ,1,5988
the only entertainment you 'll derive from this choppy and sloppy affair ,0,26382
what results is the best performance from either in years ,1,8879
"the premise of `` abandon '' holds promise , ... but its delivery is a complete mess ",0,20459
stay for the credits ,1,32103
in some evocative shades ,1,18459
best and most mature comedy ,1,25718
a slow-moving police-procedural thriller that ,0,53975
some of its repartee is still worth hearing . ,1,5955
trying to break your heart an attraction it desperately needed ,1,42156
"a sun-drenched masterpiece , part parlor game , part psychological case study , part droll social satire . ",1,15094
as it 's too loud to shout insults at the screen ,0,55319
is just as boring and as obvious ,0,64002
eccentric and ,1,12053
the only thing scary about feardotcom ,0,12695
rewarded ,1,11220
the emphasis on the latter leaves blue crush waterlogged ,0,65800
worthy ,1,35990
"a heady , biting , be-bop ride through nighttime manhattan , a loquacious videologue of the modern male and the lengths to which he 'll go to weave a protective cocoon around his own ego . ",1,19164
you will never forget ,1,20521
has at last decisively broken with her friends image in an independent film of satiric fire and emotional turmoil ,1,15424
"the world 's best actors , ",1,15263
film legacy ,1,41517
it 's exploitive without being insightful . ,0,43955
"soulful , scathing and joyous ",1,4670
"inescapably gorgeous , ",1,23494
spiteful ,0,65438
create a feature film that is wickedly fun to watch ,1,66087
"has layered , well-developed characters and some surprises . ",1,19374
a perfect performance ,1,860
on the surface a silly comedy ,1,59577
nothing but an episode of smackdown ,0,5730
dramatic impact ,1,64432
"the sum of all fears pretends to be a serious exploration of nuclear terrorism , ",0,58199
the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull ,0,32991
is notable for its sheer audacity and openness . ,1,31412
disappointments i ,0,30844
too big ,0,44630
a very moving and revelatory footnote ,1,1801
deft and subtle poetry ,1,48010
uneven but a lot of fun ,1,53299
"more revealing , more emotional and more surprising ",1,42030
wow ' factor ,1,747
"it 's a very entertaining , thought-provoking film with a simple message ",1,11077
utterly static ,0,24462
a bunch of talented thesps ,1,47888
in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j. ,0,10081
the upper echelons ,1,10363
environmental pollution ,0,41023
and inventive moments ,1,7367
wind ,1,47993
extremely thorough ,1,7423
"i guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels ( hey , do n't shoot the messenger ) . ",0,24737
a director beginning to resemble someone 's crazy french grandfather ,0,2197
"the emotion is impressively true for being so hot-blooded , and both leads are up to the task ",1,43763
the edge of their seats ,1,21772
the first half of his movie generates by orchestrating a finale that is impenetrable and dull ,0,60084
attal 's hang-ups surrounding infidelity are so old-fashioned ,0,31325
"made it dull , lifeless , and irritating ",0,57828
"'re touched by the film 's conviction that all life centered on that place , that time and that sport ",1,34452
photographic marvel ,1,742
a pathetically inane and unimaginative ,0,39820
seem like a bad idea from frame one ,0,3682
steals ,0,28079
in a way that bespeaks an expiration date passed a long time ago ,0,11960
spiffy bluescreen technique and ,1,29297
with the american dream ,1,43121
is attractive . ,1,53119
friendly kick ,1,7547
a great cast ,1,35258
in a way that verges on the amateurish ,0,11580
"... a solid , well-formed satire . ",1,6153
always brooding ,0,64889
as the voice-over hero in columbia pictures ' perverse idea of an animated holiday movie ,0,54577
may put off insiders and outsiders alike . ,0,27130
"shines on all the characters , as the direction is intelligently accomplished ",1,608
"through a crummy , wannabe-hip crime comedy that refers incessantly to old movies , when you could just rent those movies instead , let alone seek out a respectable new one ",0,8250
everything except someone pulling the pin from a grenade with his teeth ,0,24931
nothing can detract from the affection of that moral favorite ,1,22001
"addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row ",0,17651
seems the film should instead be called ` my husband is travis bickle ' ,0,2761
"samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success ",1,29796
uncompelling the movie ,0,57050
bravo 's ,1,52778
consumed and forgotten ,0,48664
"blessed with two fine , nuanced lead performances ",1,494
"is a riveting , brisk delight ",1,23219
there 's only one way to kill michael myers for good : stop buying tickets to these movies . ,0,27558
hastily and ,0,27537
terrific casting ,1,30076
neglecting character development ,0,65213
"laconic and very stilted in its dialogue , this indie flick never found its audience , probably because it 's extremely hard to relate to any of the characters . ",0,23490
real masterpiece ,1,57423
would make this a moving experience for people who have n't read the book ,1,9725
between two gifted performers ,1,21707
it 's so bad ,0,317
an underdone potato ,0,64172
"is smart writing , skewed characters , and the title performance by kieran culkin ",1,26311
it also has many of the things that made the first one charming . ,1,60223
intelligent observations ,1,2768
", you might want to check it out ",1,21668
an enjoyable big movie ,1,21837
has flopped as surely as a soufflé gone wrong . ,0,65794
"politics , power and ",1,48943
"it 's a loathsome movie , it really is ",0,14087
derring-do ,1,20720
"stay with the stage versions , however , which bite cleaner , and deeper ",0,38905
", that 's a liability . ",0,11311
perfect use in the breathtakingly beautiful outer-space documentary space station 3d ,1,64812
is entertaining on an inferior level ,0,61353
sad to say -- it accurately reflects the rage and alienation that fuels the self-destructiveness of many young people . ,1,5864
"this digital-effects-heavy , supposed family-friendly comedy ",0,16027
despicable ,0,65982
to take an entirely stale concept and push it through the audience 's meat grinder one more time ,0,1686
does not translate well to the screen ,0,41720
low-budget constraints ,0,14426
mixed up together like a term paper from a kid who ca n't quite distinguish one sci-fi work from another ,0,52426
from one of french cinema 's master craftsmen ,1,56686
be a different kind of film ,1,7761
allows the characters to inhabit their world without cleaving to a narrative arc ,1,53268
"queen of the damned as you might have guessed , makes sorry use of aaliyah in her one and only starring role -- ",0,25598
"since the empire strikes back ... a majestic achievement , an epic of astonishing grandeur and surprising emotional depth ",1,55190
"a slick , engrossing melodrama . ",1,17235
"joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy ",0,33522
"an enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty . ",1,42926
on its taut performances and creepy atmosphere ,0,27132
seem smart and well-crafted ,1,27613
has nothing ,0,54871
very well shot or composed or edited ,1,11764
"seems terrified of the book 's irreverent energy , and scotches most of its élan , humor , bile , and irony ",0,40758
love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots ,0,57253
is even worse than i imagined a movie ever could be ,0,6191
"let 's see , a haunted house , a haunted ship , what 's next ... ghost blimp ? ",0,35882
the unexplored story opportunities of `` punch-drunk love '' may have worked against the maker 's minimalist intent but it is an interesting exercise by talented writer/director anderson . ,1,3007
hard to stop watching ,1,37430
a thoughtful movie ,1,47406
tiresome jargon ,0,23209
no disguising this as one of the worst films of the summer ,0,49420
- kids-cute sentimentality by a warmth that is n't faked and ,1,29698
this fast-paced ,1,41775
"of absurd plot twists , idiotic court maneuvers and stupid characters ",0,48147
"several survivors , ",1,57510
he fails . ,0,21086
too long to turn his movie in an unexpected direction ,1,16800
"quirky , charming and ",1,29651
a ruffle in what is already an erratic career ,0,65054
", meandering , and sometimes dry ",0,66139
"a slick , ",1,55306
combine into one terrific story with lots of laughs . ,1,35601
"unsurprisingly , the way this all works out makes the women look more like stereotypical caretakers and moral teachers , instead of serious athletes . ",0,18458
sparse instances ,0,38613
"'s immensely ambitious , different than anything that 's been done before and amazingly successful in terms of what it 's trying to do . ",1,32596
enjoyed it just as much ,1,21827
symbolic graphic design ,1,10878
so slick and watered-down it almost loses what made you love it ,0,54478
it 's hard to stop watching ,1,37701
's a funny little movie with clever dialogue and likeable characters . ,1,5971
"dickens ' wonderfully sprawling soap opera , ",1,49982
its own existence ,1,58740
blessed with a searing lead performance by ryan gosling ( murder by numbers ) ,1,63291
complex characters ,1,41628
marvelous film ,1,38153
after being snared in its own tangled plot ,0,59254
disposible ,0,39063
funny pace ,1,56785
feel absolutely earned ,1,53315
"uneven , self-conscious but often hilarious spoof . ",1,59849
energized ,1,61027
"succeeds primarily with her typical blend of unsettling atmospherics , delivering a series of abrasive , stylized sequences that burn themselves upon the viewer 's memory . ",1,31334
a bit of a downer and a little over-dramatic at times ,0,13797
it 's good-natured and sometimes quite funny ,1,64409
is instead about as fresh as last week 's issue of variety ,0,18169
playing characters who sometimes feel more like literary conceits than flesh-and-blood humans ,0,40087
fosters moments of spontaneous intimacy ,1,7126
crowd-pleasing goals ,1,55075
to the scuzzy underbelly of nyc 's drug scene ,0,29594
"a chance to see three splendid actors turn a larky chase movie into an emotionally satisfying exploration of the very human need to be somebody , and to belong to somebody . ",1,13462
an ounce of honest poetry ,1,14625
"things going at a rapid pace , occasionally using an omniscient voice-over narrator in the manner of french new wave films ",1,22105
would quickly change the channel ,0,56518
grown-up voice ,1,53777
a rambling and incoherent manifesto about the vagueness of topical excess ,0,51115
leave us stranded with nothing more than our lesser appetites . ,0,57354
"the slapstick is labored , ",0,56725
"capably hold our interest , but its just not a thrilling movie ",0,45437
bring tissues . ,1,124
watered-down ,0,29329
rumor ,0,25729
it 's definitely a step in the right direction . ,1,46743
put together with the preteen boy in mind ,0,48042
"holland lets things peter out midway , but it 's notably better acted -- and far less crass - than some other recent efforts in the burgeoning genre of films about black urban professionals . ",1,13897
"fessenden continues to do interesting work , and it would be nice to see what he could make with a decent budget . ",1,33046
"the rueful , wry humor springing out of yiddish culture and language ",1,20397
the worst kind of mythologizing ,0,38354
wonderful acting clinic ,1,9494
"solid , satisfying fare ",1,2452
( moore 's ) better at fingering problems than finding solutions . ,0,55185
drown a viewer in boredom ,0,58118
ensures the film never feels draggy ,1,44343
is an undeniably fascinating and playful fellow . ,1,38060
shine ,1,65147
is likely to find compelling ,1,24660
"the intimate , unguarded moments of folks who live in unusual homes -- ",0,710
drama ,0,60082
"the images often look smeary and blurry , to the point of distraction ",0,21053
the film opens with maggots crawling on a dead dog ,0,31905
"builds to an intense indoor drama about compassion , sacrifice , and christian love in the face of political corruption ",1,56399
are simply intoxicating . ,1,45008
"quirky , slightly strange french films ",1,57706
"it does n't offer audiences any way of gripping what its point is , or even its attitude toward its subject . ",0,52106
forgotten the movie by the time you get back to your car in the parking lot ,0,40605
a few pieces of the film buzz and whir ; very little of it actually clicks . ,0,24041
with awe ,1,396
skilfully ,1,46759
collectively stellar performance ,1,65401
remarkable and ,1,56172
with the waldo salt screenwriting award ,1,46680
'd take ( its ) earnest errors and hard-won rewards over the bombastic self-glorification of other feel-good fiascos like antwone fisher or the emperor 's club any time . ,1,40138
has a bracing truth that 's refreshing after the phoniness of female-bonding pictures like divine secrets of the ya-ya sisterhood . ,1,1262
does such a good job of it that family fundamentals gets you riled up ,1,10184
nothing about them is attractive . ,0,60359
"sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing ",0,29261
that even cranky adults may rediscover the quivering kid inside ,1,10230
that something hip and transgressive was being attempted here that stubbornly refused to gel ,0,44244
adds enough quirky and satirical touches in the screenplay to keep the film entertaining ,1,47926
a film that plays things so nice 'n safe as to often play like a milquetoast movie of the week blown up for the big screen . ,0,66719
with all its flaws ,0,13141
smacks of exhibitionism more than it does cathartic truth telling ,0,12906
should drop everything and run to ichi ,1,32391
"about dealing with regret and , ultimately , finding redemption ",1,18614
"skip this dreck , ",0,77
"the filmmakers know how to please the eye , but ",1,53169
dehumanizing and ,0,57504
thought that the german film industry can not make a delightful comedy centering on food . ,1,2592
"veered off too far into the exxon zone , and ",0,8785
"is a loose collection of not-so-funny gags , scattered moments of lazy humor ",0,43592
simple and precise that anything discordant would topple the balance ,1,42179
carrying ,1,38010
good man ,1,10618
abandon spends 90 minutes trying figure out whether or not some cocky pseudo-intellectual kid has intentionally left college or was killed . ,0,2917
always fairly ,1,33305
loaded with actors you 're most likely to find on the next inevitable incarnation of the love boat ,0,51858
... contains very few laughs and even less surprises . ,0,51186
an engrossing story ,1,57940
that likely ,1,33507
"actually finding the characters in slackers or their antics amusing , let alone funny ",0,43005
"seems far more interested in gross-out humor than in showing us well-thought stunts or a car chase that we have n't seen 10,000 times . ",0,22654
the miniseries ,1,54943
spin hopelessly out ,0,25143
", unfortunately , is a little too in love with its own cuteness ",0,31760
slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but ,0,17487
though it lacks the utter authority of a genre gem ,0,4277
"lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers . ",1,54794
puppies with broken legs ,0,30837
wheedling reluctant witnesses ,0,61452
team ,1,12634
sharp edges and a deep vein of sadness ,1,909
with every cinematic tool well under his control ,1,34992
"a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that i ca n't believe any viewer , young or old , ",0,14633
a warm and well-told tale ,1,47860
we did n't get more re-creations of all those famous moments from the show ,0,54310
a great cast and a wonderful but sometimes confusing flashback movie about growing up in a dysfunctional family . ,1,55419
"'s simply stupid , irrelevant and deeply ",0,725
should scare any sane person away . ,0,38929
inspires ,1,36713
art-house to the core ,1,12747
with grace and humor ,1,54771
hilarity ,1,8480
too slight to be called any kind of masterpiece ,0,3758
after the clever credits roll ,1,18376
sometimes it 's difficult to tell who the other actors in the movie are ,0,22292
's hard to imagine another director ever making his wife look so bad in a major movie . ,0,31350
rarely stoops to cheap manipulation or corny conventions to do it ,1,29328
subtly kinky bedside vigils and ,1,49270
way too full of itself ,0,6640
vivacious ,1,42925
is slow to those of us in middle age ,0,65133
finally succeeds in diminishing his stature from oscar-winning master to lowly studio hack . ,0,43584
imagination ,1,62129
"may be one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject -- a teenage boy in love with his stepmother . ",1,40707
"no psychology here , and no real narrative logic -- just a series of carefully choreographed atrocities , which become strangely impersonal and abstract ",0,26420
aged ,0,10967
"may be more genial than ingenious , but ",1,23649
primitive animated special effects ,0,63430
"undisputed is nearly incoherent , an excuse to get to the closing bout ... by which time it 's impossible to care who wins . ",0,33691
"'s a movie that ends with truckzilla , for cryin ' out loud ",0,44186
an inquisitiveness reminiscent of truffaut ,1,57305
succeed ,1,34324
five hours long ,0,29454
"a colorful , vibrant introduction ",1,53485
to enjoy its own transparency ,1,2684
a bottom-feeder sequel ,0,28160
an utterly incompetent conclusion ,0,35368
just because a walk to remember ,1,791
a hint ,1,65290
ends with a whimper ,0,65215
flavorful performances ,1,58354
this clever and very satisfying picture is more accurately chabrolian . ,1,43334
it summons more spirit and bite than your average formulaic romantic quadrangle ,1,36652
whimsy ,1,48732
the talents of his top-notch creative team ,1,4375
hard pressed to succumb to the call of the wild ,0,1455
esoteric ,1,46447
"there are no special effects , and no hollywood endings . ",1,22267
vanity project ,0,23135
real magic ,1,27946
blockbuster ,1,61906
"the pacing is deadly , the narration helps little and ",0,5636
", it feels more forced than usual . ",0,38016
with his effortless performance ,1,45982
"everything kieslowski 's work aspired to , including the condition of art ",1,43063
college keg party ,0,23662
dazzling ,1,21083
barney 's crushingly self-indulgent spectacle ,0,4229
so old-fashioned ,0,39825
good actors ,1,29490
"seems more tacky and reprehensible , manipulating our collective fear without bestowing the subject with the intelligence or sincerity it unequivocally deserves . ",0,35635
into your heart ,1,42129
gaunt ,0,23308
sensuous and spirited ,1,41323
"to consider the unthinkable , the unacceptable , the unmentionable ",0,56038
"shyamalan 's gifts , which are such that we 'll keep watching the skies for his next project ",1,17485
"nelson 's intentions are good , but the end result does no justice to the story itself ",0,21515
numb experience ,0,58929
is so intimate and sensual and funny and psychologically self-revealing ,1,7938
colorful ,1,38115
where 's the movie here ? ,0,41092
becomes a simplistic story about a dysfunctional parent-child relationship ,0,5218
"a bad premise , ",0,51428
desperation and cinematic deception ,0,17834
"wise enough to recognize that there are few things in this world more complex -- and , as it turns out , more fragile -- than happiness ",1,2993
"rarely easy , obvious or self-indulgent ",1,49433
with pitch-perfect acting ,1,19554
the opulent lushness of every scene ,1,29438
"this is the kind of subject matter that could so easily have been fumbled by a lesser filmmaker , but ayres makes the right choices at every turn ",1,33934
oscar-winning master ,1,39429
structured less as a documentary and more as a found relic ,1,61033
"wonder , hope and magic can never escape the heart of the boy when the right movie comes along , especially if it begins with the name of star wars ",1,14739
the movie as a whole ,1,42665
` santa clause 2 ' is wondrously creative . ,1,64879
bolstered by exceptional performances and ,1,54936
"lacks the visual panache , the comic touch , and perhaps the budget of sommers 's title-bout features . ",0,38162
"is smart writing , skewed characters , and the title performance by kieran culkin . ",1,28637
", so who knew charles dickens could be so light-hearted ? ",1,8978
absurdly simplistic ,0,38406
"could use a little more humanity , but it never lacks in eye-popping visuals . ",1,63039
just does n't cut it ,0,65647
"makes it not only a detailed historical document , but an engaging and moving portrait of a subculture ",1,59202
where its recent predecessor miserably ,0,41167
its one-sidedness ... flirts with propaganda . ,0,58302
the insinuation of mediocre acting ,0,30719
for every cheesy scene ,0,34141
a chilling movie without oppressive ,1,20830
about the startling transformation of a tradition-bound widow who is drawn into the exotic world of belly dancing ,1,35908
", steven soderbergh 's space opera emerges as a numbingly dull experience . ",0,26467
... the kind of entertainment that parents love to have their kids see . ,1,12482
"as rude and profane as ever , always hilarious and , most of the time , ",1,31087
the first movie ,1,13938
that is masterly ,1,65423
a whole lot of fun ,1,39187
badly awry ,0,24904
ultra-violent ,0,44072
"my indignant , preemptive departure ",0,16006
finally transporting re-imagining of beauty and the beast and 1930s horror films ,1,29564
i was expecting ,0,17449
"familiar and predictable , and ",0,12201
that rare family movie -- ,1,57330
enticing and often ,1,57595
"one of those rare films that come by once in a while with flawless amounts of acting , direction , story and pace ",1,43873
contradictory things ,0,3933
that make 105 minutes seem twice as long ,0,41387
"more revealing , more emotional ",1,52005
into a few evocative images and striking character traits ,1,11744
insultingly simplistic ,0,59237
it 's difficult to shrug off the annoyance of that chatty fish ,0,27031
is just as obvious as telling a country skunk ,0,62907
captivates and shows ,1,27010
depressingly thin and ,0,21686
such an irrepressible passion for sappy situations and dialogue ,0,24770
"daily struggles and simple pleasures usurp the preaching message so that , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails . ",1,53631
"faithful without being forceful , sad without being shrill , `` a walk to remember '' ",1,45400
"'m sure the filmmaker would disagree , but , honestly , i do n't see the point ",0,27677
felt and vividly detailed story about newcomers in a strange new world ,1,66357
absorbing and unsettling psychological drama ,1,36052
it seems as if each watered down the version of the one before ,0,10188
of an aging filmmaker still thumbing his nose at convention ,0,24682
overstays its natural running time ,0,21215
a pleasant piece of escapist entertainment . ,1,61844
to give the film the substance it so desperately needs ,0,61389
"few films have captured the chaos of an urban conflagration with such fury , and ",1,49128
auspicious feature debut ,1,60058
frustrating than a modem that disconnects every 10 seconds ,0,20012
defined by childlike dimness and a handful of quirks ,0,62356
as monumental as disney 's 1937 breakthrough ,1,32052
it wears out its welcome as tryingly as the title character . ,0,21669
suffers because of its many excesses ,0,34708
"hart 's war seems to want to be a character study , but apparently ca n't quite decide which character . ",0,12946
"-- like a rather unbelievable love interest and a meandering ending -- this '60s caper film is a riveting , brisk delight . ",1,25897
classic text ,1,63920
of cuban leader fidel castro ,0,41606
has no point ,0,632
are up to the task ,1,52061
with honesty that is tragically rare in the depiction of young women in film ,1,33050
so larger than life ,1,38420
unshapely look ,0,2786
all portent and no content ,0,53205
being insightful ,1,36167
"the movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star bruce willis . ",1,63339
kept much of the plot but jettisoned the stuff that would make this a moving experience for people who have n't read the book ,0,53695
"peter jackson and company once again dazzle and delight us , fulfilling practically every expectation either a longtime tolkien fan or a movie-going neophyte could want . ",1,26828
can usually be traced back to the little things ,1,63496
eerily accurate depiction of depression . ,0,39022
with cliche ,0,8437
the cumulative effect of the movie is repulsive and depressing . ,0,4004
", snide and prejudice . ",0,25045
trying to pass off as acceptable teen entertainment for some time now ,0,67142
was created for the non-fan to figure out what makes wilco a big deal ,1,15468
decent tv outing ,1,65711
"he has n't lost his touch , bringing off a superb performance in an admittedly middling film ",1,39613
may be a bit disjointed ,0,24231
is wondrously creative ,1,26553
dull with only caine ,0,38492
